                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0906,                 2.7787,                 1.4679,                0.33758,                   0.62,                0.37596,                0.23802,                 1.1684,                 6.1773,                 1.5314,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.0921,                 2.0482,                 1.3621,                0.13157,                0.27333,                0.10166,                0.05366,                 1.5997,                 24.269,                 2.2584,             0.00051128,             0.00051128,             0.00051128
                      3,                 1.2104,                 2.3994,                 1.4878,                0.29228,                   0.58,                0.36873,                0.20044,                 1.6932,                 24.568,                 3.2252,             0.00074742,             0.00074742,             0.00074742
                      4,                 1.2669,                 2.2482,                 1.5344,                0.38063,                   0.14,                0.03889,                0.01133,                 2.3176,                 71.755,                 5.2603,             0.00096565,             0.00096565,             0.00096565
                      5,                 1.5014,                 2.3028,                 1.7668,                0.00153,                0.43333,                0.00208,                0.00081,                 3.0124,                  20627,                 52.906,              0.0011659,              0.0011659,              0.0011659
                      6,                 1.4371,                 2.0779,                  1.674,                0.00203,                0.42667,                0.00158,                0.00059,                 2.9775,                 4545.1,                 14.536,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.4956,                 2.1862,                 1.7557,                0.00618,                0.54667,                0.00654,                0.00259,                  2.169,                 3409.4,                 19.847,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.4114,                 1.9206,                 1.6886,                0.00513,                0.44667,                0.00426,                0.00165,                  2.351,                 2337.3,                 9.1144,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.3659,                 1.6762,                  1.611,                0.00419,                0.54667,                0.00406,                0.00149,                 2.4566,                 492.67,                 7.0474,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.4349,                 1.8259,                 1.7044,                0.05155,                0.20667,                 0.0447,                0.02375,                 1.9874,                 31.442,                 3.6251,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.3303,                 1.6767,                  1.596,                0.64536,                   0.34,                 0.4224,                0.27594,                  1.508,                  2.564,                 1.9475,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.3022,                  1.638,                 1.5996,                0.68639,                0.63558,                0.69752,                0.46787,                 1.1992,                 2.3855,                 1.6928,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.2472,                 1.5501,                 1.4996,                 0.5117,                0.57573,                0.56914,                0.34479,                 1.4452,                 2.1101,                  1.892,             0.00086312,             0.00086312,             0.00086312
